"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","1558S2-015",43581.35,"1981-08-12T00:10:24Z","1981-08-12T01:34:56Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","UV     ",   7,15.3600,"                                                                                ","11111111","NONE  ","VG_0036 ","[SATURN.C4358XXX]C4358135.IMQ            ","VG_0036 ","[BROWSE.SATURN.C4358XXX]C4358135.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","1561S2-015",43581.38,"1981-08-12T00:10:24Z","1981-08-12T01:37:20Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","CH4_JS ",   0, 5.7600,"                                                                                ","11111111","NONE  ","VG_0036 ","[SATURN.C4358XXX]C4358138.IMQ            ","VG_0036 ","[BROWSE.SATURN.C4358XXX]C4358138.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","1568S2-015",43581.45,"1981-08-12T00:18:24Z","1981-08-12T01:42:56Z","NARROW_ANGLE_CAMERA","3:1    ","NAONLY ","LOW    ","1:1    ","VIOLET ",   1, 2.8800,"                                                                                ","11111111","NONE  ","VG_0036 ","[SATURN.C4358XXX]C4358145.IMQ            ","VG_0036 ","[BROWSE.SATURN.C4358XXX]C4358145.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","1572S2-015",43581.49,"1981-08-12T00:21:36Z","1981-08-12T01:46:08Z","NARROW_ANGLE_CAMERA","3:1    ","NAONLY ","LOW    ","1:1    ","BLUE   ",   2, 1.4400,"                                                                                ","11111111","NONE  ","VG_0036 ","[SATURN.C4358XXX]C4358149.IMQ            ","VG_0036 ","[BROWSE.SATURN.C4358XXX]C4358149.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","1576S2-015",43581.53,"1981-08-12T00:24:48Z","1981-08-12T01:49:20Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","GREEN  ",   5, 1.9200,"                                                                                ","11111111","NONE  ","VG_0036 ","[SATURN.C4358XXX]C4358153.IMQ            ","VG_0036 ","[BROWSE.SATURN.C4358XXX]C4358153.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","1579S2-015",43581.56,"1981-08-12T00:24:48Z","1981-08-12T01:51:44Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","BLUE   ",   1, 0.2400,"                                                                                ","11111111","NONE  ","VG_0036 ","[SATURN.C4358XXX]C4358156.IMQ            ","VG_0036 ","[BROWSE.SATURN.C4358XXX]C4358156.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","1583S2-015",43582.00,"1981-08-12T00:30:24Z","1981-08-12T01:54:56Z","NARROW_ANGLE_CAMERA","3:1    ","NAONLY ","LOW    ","1:1    ","VIOLET ",   1, 2.8800,"                                                                                ","11111111","NONE  ","VG_0036 ","[SATURN.C4358XXX]C4358200.IMQ            ","VG_0036 ","[BROWSE.SATURN.C4358XXX]C4358200.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","1587S2-015",43582.04,"1981-08-12T00:33:36Z","1981-08-12T01:58:08Z","NARROW_ANGLE_CAMERA","3:1    ","NAONLY ","LOW    ","1:1    ","BLUE   ",   2, 1.4400,"                                                                                ","11111111","NONE  ","VG_0036 ","[SATURN.C4358XXX]C4358204.IMQ            ","VG_0036 ","[BROWSE.SATURN.C4358XXX]C4358204.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","1591S2-015",43582.08,"1981-08-12T00:36:48Z","1981-08-12T02:01:20Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","GREEN  ",   5, 1.9200,"                                                                                ","11111111","NONE  ","VG_0036 ","[SATURN.C4358XXX]C4358208.IMQ            ","VG_0036 ","[BROWSE.SATURN.C4358XXX]C4358208.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","1594S2-015",43582.11,"1981-08-12T00:36:48Z","1981-08-12T02:03:44Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","VIOLET ",   3, 0.9600,"                                                                                ","11111111","NONE  ","VG_0036 ","[SATURN.C4358XXX]C4358211.IMQ            ","VG_0036 ","[BROWSE.SATURN.C4358XXX]C4358211.IBG            "                                                                                               
