"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1285S1-082",32505.21,"1980-08-23T16:50:10Z","1980-08-23T22:48:52Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","BLUE   ",   2, 1.4400,"                                                                                ","11111111","NONE  ","VG_0026 ","[SATURN.C3250XXX]C3250521.IMQ            ","VG_0026 ","[BROWSE.SATURN.C3250XXX]C3250521.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1287S1-082",32505.23,"1980-08-23T16:51:46Z","1980-08-23T22:53:20Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","ORANGE ",   3, 2.8800,"                                                                                ","11111111","NONE  ","VG_0026 ","[SATURN.C3250XXX]C3250523.IMQ            ","VG_0026 ","[BROWSE.SATURN.C3250XXX]C3250523.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1289S1-082",32505.25,"1980-08-23T16:53:22Z","1980-08-23T22:57:46Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","GREEN  ",   5, 1.9200,"                                                                                ","11111111","NONE  ","VG_0026 ","[SATURN.C3250XXX]C3250525.IMQ            ","VG_0026 ","[BROWSE.SATURN.C3250XXX]C3250525.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1291S1-082",32505.27,"1980-08-23T16:54:58Z","1980-08-23T23:02:13Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","UV     ",   7,15.3600,"                                                                                ","11111111","NONE  ","VG_0026 ","[SATURN.C3250XXX]C3250527.IMQ            ","VG_0026 ","[BROWSE.SATURN.C3250XXX]C3250527.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1293S1-082",32505.29,"1980-08-23T16:56:34Z","1980-08-23T23:06:40Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","VIOLET ",   1, 1.9200,"                                                                                ","11111111","NONE  ","VG_0026 ","[SATURN.C3250XXX]C3250529.IMQ            ","VG_0026 ","[BROWSE.SATURN.C3250XXX]C3250529.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1431S1-082",32507.47,"1980-08-23T18:46:58Z","1980-08-23T20:07:43Z","NARROW_ANGLE_CAMERA","5:1    ","NAONLY ","LOW    ","1:1    ","VIOLET ",   1, 1.9200,"                                                                                ","11111111","NONE  ","VG_0026 ","[SATURN.C3250XXX]C3250747.IMQ            ","VG_0026 ","[BROWSE.SATURN.C3250XXX]C3250747.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1437S1-082",32507.53,"1980-08-23T18:51:46Z","1980-08-23T20:12:31Z","NARROW_ANGLE_CAMERA","5:1    ","NAONLY ","LOW    ","1:1    ","ORANGE ",   3, 2.8800,"                                                                                ","11111111","NONE  ","VG_0026 ","[SATURN.C3250XXX]C3250753.IMQ            ","VG_0026 ","[BROWSE.SATURN.C3250XXX]C3250753.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1443S1-082",32507.59,"1980-08-23T18:56:34Z","1980-08-23T20:17:19Z","NARROW_ANGLE_CAMERA","5:1    ","NAONLY ","LOW    ","1:1    ","GREEN  ",   5, 1.9200,"                                                                                ","11111111","NONE  ","VG_0026 ","[SATURN.C3250XXX]C3250759.IMQ            ","VG_0026 ","[BROWSE.SATURN.C3250XXX]C3250759.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1449S1-082",32508.05,"1980-08-23T19:01:22Z","1980-08-23T20:22:07Z","NARROW_ANGLE_CAMERA","5:1    ","NAONLY ","LOW    ","1:1    ","UV     ",   7,15.3600,"                                                                                ","11111111","NONE  ","VG_0026 ","[SATURN.C3250XXX]C3250805.IMQ            ","VG_0026 ","[BROWSE.SATURN.C3250XXX]C3250805.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1455S1-082",32508.11,"1980-08-23T19:06:10Z","1980-08-23T20:26:55Z","NARROW_ANGLE_CAMERA","5:1    ","NAONLY ","LOW    ","1:1    ","CLEAR  ",   0, 5.7600,"                                                                                ","11111111","NONE  ","VG_0026 ","[SATURN.C3250XXX]C3250811.IMQ            ","VG_0026 ","[BROWSE.SATURN.C3250XXX]C3250811.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1585S1-082",32510.21,"1980-08-23T20:50:10Z","1980-08-23T22:10:55Z","NARROW_ANGLE_CAMERA","5:1    ","NAONLY ","LOW    ","1:1    ","VIOLET ",   1, 1.9200,"                                                                                ","11111111","NONE  ","VG_0026 ","[SATURN.C3251XXX]C3251021.IMQ            ","VG_0026 ","[BROWSE.SATURN.C3251XXX]C3251021.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1591S1-082",32510.27,"1980-08-23T20:54:58Z","1980-08-23T22:15:43Z","NARROW_ANGLE_CAMERA","5:1    ","NAONLY ","LOW    ","1:1    ","ORANGE ",   3, 2.8800,"                                                                                ","11111111","NONE  ","VG_0026 ","[SATURN.C3251XXX]C3251027.IMQ            ","VG_0026 ","[BROWSE.SATURN.C3251XXX]C3251027.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1597S1-082",32510.33,"1980-08-23T20:59:46Z","1980-08-23T22:20:31Z","NARROW_ANGLE_CAMERA","5:1    ","NAONLY ","LOW    ","1:1    ","GREEN  ",   5, 1.9200,"                                                                                ","11111111","NONE  ","VG_0026 ","[SATURN.C3251XXX]C3251033.IMQ            ","VG_0026 ","[BROWSE.SATURN.C3251XXX]C3251033.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1603S1-082",32510.39,"1980-08-23T21:04:34Z","1980-08-23T22:25:19Z","NARROW_ANGLE_CAMERA","5:1    ","NAONLY ","LOW    ","1:1    ","UV     ",   7,15.3600,"                                                                                ","11111111","NONE  ","VG_0026 ","[SATURN.C3251XXX]C3251039.IMQ            ","VG_0026 ","[BROWSE.SATURN.C3251XXX]C3251039.IBG            "                                                                                               
