"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0132S2-030",43107.49,"1981-07-27T05:09:35Z","1981-07-27T15:51:24Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","CLEAR  ",   0, 0.9600,"BROWSE IMAGE ON VG_0034 CONTAINS BIT ERRORS; USE IMAGE ON VG_0038               ","11111111","NONE  ","VG_0038 ","[FOUND]C4310749.IMQ                      ","VG_0038 ","[BROWSE.SATURN.C4310XXX]C4310749.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","1092S2-024",43303.49,"1981-08-02T17:57:36Z","1981-08-02T19:20:40Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","GREEN  ",   5, 1.9200,"IMAGE ON VG_0035 CONTAINS BIT ERRORS; USE IMAGE ON VG_0038                      ","11111111","NONE  ","VG_0038 ","[FOUND]C4330349.IMQ                      ","VG_0038 ","[BROWSE.SATURN.C4330XXX]C4330349.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0256S2-023",43319.53,"1981-08-03T06:48:48Z","1981-08-03T08:11:58Z","NARROW_ANGLE_CAMERA","3:1    ","NAONLY ","LOW    ","1:1    ","BLUE   ",   2, 1.9200,"                                                                                ","11111111","NONE  ","VG_0038 ","[FOUND]C4331953.IMQ                      ","VG_0038 ","[BROWSE.SATURN.C4331XXX]C4331953.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0260S2-023",43319.57,"1981-08-03T06:52:00Z","1981-08-03T08:15:10Z","NARROW_ANGLE_CAMERA","3:1    ","BSIMAN ","LOW    ","1:1    ","GREEN  ",   5, 1.9200,"                                                                                ","11111111","NONE  ","VG_0038 ","[FOUND]C4331957.IMQ                      ","VG_0038 ","[BROWSE.SATURN.C4331XXX]C4331957.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0263S2-023",43320.00,"1981-08-03T06:52:00Z","1981-08-03T08:17:34Z","WIDE_ANGLE_CAMERA  ","3:1    ","BSIMAN ","LOW    ","1:1    ","ORANGE ",   7, 0.7200,"                                                                                ","11111111","NONE  ","VG_0038 ","[FOUND]C4332000.IMQ                      ","VG_0038 ","[BROWSE.SATURN.C4332XXX]C4332000.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0266S2-023",43320.03,"1981-08-03T06:56:48Z","1981-08-03T08:19:58Z","NARROW_ANGLE_CAMERA","3:1    ","NAONLY ","LOW    ","1:1    ","UV     ",   7,15.3600,"                                                                                ","11111111","NONE  ","VG_0038 ","[FOUND]C4332003.IMQ                      ","VG_0038 ","[BROWSE.SATURN.C4332XXX]C4332003.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0270S2-023",43320.07,"1981-08-03T07:00:00Z","1981-08-03T08:23:10Z","NARROW_ANGLE_CAMERA","3:1    ","NAONLY ","LOW    ","1:1    ","BLUE   ",   2, 1.9200,"                                                                                ","11111111","NONE  ","VG_0038 ","[FOUND]C4332007.IMQ                      ","VG_0038 ","[BROWSE.SATURN.C4332XXX]C4332007.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0274S2-023",43320.11,"1981-08-03T07:03:12Z","1981-08-03T08:26:22Z","NARROW_ANGLE_CAMERA","3:1    ","BSIMAN ","LOW    ","1:1    ","GREEN  ",   5, 1.9200,"                                                                                ","11111111","NONE  ","VG_0038 ","[FOUND]C4332011.IMQ                      ","VG_0038 ","[BROWSE.SATURN.C4332XXX]C4332011.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0277S2-023",43320.14,"1981-08-03T07:03:12Z","1981-08-03T08:28:46Z","WIDE_ANGLE_CAMERA  ","3:1    ","BSIMAN ","LOW    ","1:1    ","CH4_JS ",   0, 5.7600,"                                                                                ","11111111","NONE  ","VG_0038 ","[FOUND]C4332014.IMQ                      ","VG_0038 ","[BROWSE.SATURN.C4332XXX]C4332014.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0291S2-023",43320.28,"1981-08-03T07:16:48Z","1981-08-03T08:40:48Z","NARROW_ANGLE_CAMERA","3:1    ","NOSHUT ","LOW    ","1:1    ","VIOLET ",   1, 3.8400,"ENGINEERING HEADER CORRUPTED; IT AND PDS LABEL INCORRECTLY SHOW FDS=4332029     ","11111111","NONE  ","VG_0035 ","[FOUND]C4332028.IMQ                      ","VG_0038 ","[BROWSE.SATURN.C4332XXX]C4332028.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0295S2-023",43320.32,"1981-08-03T07:20:00Z","1981-08-03T08:43:10Z","NARROW_ANGLE_CAMERA","3:1    ","NAONLY ","LOW    ","1:1    ","BLUE   ",   2, 1.9200,"                                                                                ","11111111","NONE  ","VG_0038 ","[FOUND]C4332032.IMQ                      ","VG_0038 ","[BROWSE.SATURN.C4332XXX]C4332032.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0307S2-023",43320.44,"1981-08-03T07:29:36Z","1981-08-03T08:52:56Z","NARROW_ANGLE_CAMERA","3:1    ","NAONLY ","LOW    ","1:1    ","CLEAR  ",   0, 0.9600,"                                                                                ","11111111","NONE  ","VG_0038 ","[FOUND]C4332044.IMQ                      ","VG_0038 ","[BROWSE.SATURN.C4332XXX]C4332044.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0311S2-023",43320.48,"1981-08-03T07:32:48Z","1981-08-03T08:55:59Z","NARROW_ANGLE_CAMERA","3:1    ","NAONLY ","LOW    ","1:1    ","CLEAR  ",   0, 7.6800,"                                                                                ","11111111","NONE  ","VG_0038 ","[FOUND]C4332048.IMQ                      ","VG_0038 ","[BROWSE.SATURN.C4332XXX]C4332048.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0320S2-023",43320.57,"1981-08-03T07:40:00Z","1981-08-03T09:03:10Z","NARROW_ANGLE_CAMERA","5:1    ","NAONLY ","LOW    ","1:1    ","UV     ",   7,15.3600,"                                                                                ","11111111","NONE  ","VG_0038 ","[FOUND]C4332057.IMQ                      ","VG_0038 ","[BROWSE.SATURN.C4332XXX]C4332057.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0326S2-023",43321.03,"1981-08-03T07:44:48Z","1981-08-03T09:07:58Z","NARROW_ANGLE_CAMERA","5:1    ","NAONLY ","LOW    ","1:1    ","BLUE   ",   2, 1.9200,"                                                                                ","11111111","NONE  ","VG_0038 ","[FOUND]C4332103.IMQ                      ","VG_0038 ","[BROWSE.SATURN.C4332XXX]C4332103.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0332S2-023",43321.09,"1981-08-03T07:49:36Z","1981-08-03T09:12:46Z","NARROW_ANGLE_CAMERA","5:1    ","BSIMAN ","LOW    ","1:1    ","GREEN  ",   5, 1.9200,"                                                                                ","11111111","NONE  ","VG_0038 ","[FOUND]C4332109.IMQ                      ","VG_0038 ","[BROWSE.SATURN.C4332XXX]C4332109.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0337S2-023",43321.14,"1981-08-03T07:49:36Z","1981-08-03T09:16:46Z","WIDE_ANGLE_CAMERA  ","5:1    ","BSIMAN ","LOW    ","1:1    ","BLUE   ",   1, 0.1200,"                                                                                ","11111111","NONE  ","VG_0038 ","[FOUND]C4332114.IMQ                      ","VG_0038 ","[BROWSE.SATURN.C4332XXX]C4332114.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0342S2-023",43321.19,"1981-08-03T07:57:36Z","1981-08-03T09:20:46Z","NARROW_ANGLE_CAMERA","5:1    ","NAONLY ","LOW    ","1:1    ","UV     ",   7,15.3600,"                                                                                ","11111111","NONE  ","VG_0038 ","[FOUND]C4332119.IMQ                      ","VG_0038 ","[BROWSE.SATURN.C4332XXX]C4332119.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0348S2-023",43321.25,"1981-08-03T08:02:24Z","1981-08-03T09:25:34Z","NARROW_ANGLE_CAMERA","5:1    ","NAONLY ","LOW    ","1:1    ","BLUE   ",   2, 1.9200,"                                                                                ","11111111","NONE  ","VG_0038 ","[FOUND]C4332125.IMQ                      ","VG_0038 ","[BROWSE.SATURN.C4332XXX]C4332125.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0354S2-023",43321.31,"1981-08-03T08:07:12Z","1981-08-03T09:30:22Z","NARROW_ANGLE_CAMERA","5:1    ","BSIMAN ","LOW    ","1:1    ","GREEN  ",   5, 1.9200,"                                                                                ","11111111","NONE  ","VG_0038 ","[FOUND]C4332131.IMQ                      ","VG_0038 ","[BROWSE.SATURN.C4332XXX]C4332131.IBG            "                                                                                               
