"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0386S2-024",43292.03,"1981-08-02T08:28:48Z","1981-08-02T09:55:49Z","WIDE_ANGLE_CAMERA  ","5:1    ","BOTSIM ","LOW    ","1:1    ","BLUE   ",   1, 0.1200,"                                                                                ","11111111","NONE  ","VG_0035 ","[SATURN.C4329XXX]C4329203.IMQ            ","VG_0035 ","[BROWSE.SATURN.C4329XXX]C4329203.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0391S2-024",43292.08,"1981-08-02T08:36:48Z","1981-08-02T09:59:49Z","NARROW_ANGLE_CAMERA","5:1    ","NAONLY ","LOW    ","1:1    ","UV     ",   7,15.3600,"                                                                                ","11111111","NONE  ","VG_0035 ","[SATURN.C4329XXX]C4329208.IMQ            ","VG_0035 ","[BROWSE.SATURN.C4329XXX]C4329208.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0397S2-024",43292.14,"1981-08-02T08:41:36Z","1981-08-02T10:04:37Z","NARROW_ANGLE_CAMERA","5:1    ","NAONLY ","LOW    ","1:1    ","BLUE   ",   2, 1.9200,"                                                                                ","11111111","NONE  ","VG_0035 ","[SATURN.C4329XXX]C4329214.IMQ            ","VG_0035 ","[BROWSE.SATURN.C4329XXX]C4329214.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0403S2-024",43292.20,"1981-08-02T08:46:24Z","1981-08-02T10:09:25Z","NARROW_ANGLE_CAMERA","5:1    ","BOTSIM ","LOW    ","1:1    ","GREEN  ",   5, 1.9200,"                                                                                ","11111111","NONE  ","VG_0035 ","[SATURN.C4329XXX]C4329220.IMQ            ","VG_0035 ","[BROWSE.SATURN.C4329XXX]C4329220.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0408S2-024",43292.25,"1981-08-02T08:46:24Z","1981-08-02T10:13:25Z","WIDE_ANGLE_CAMERA  ","5:1    ","BOTSIM ","LOW    ","1:1    ","VIOLET ",   3, 0.2400,"                                                                                ","11111111","NONE  ","VG_0035 ","[SATURN.C4329XXX]C4329225.IMQ            ","VG_0035 ","[BROWSE.SATURN.C4329XXX]C4329225.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0428S2-024",43292.45,"1981-08-02T09:06:24Z","1981-08-02T10:29:25Z","NARROW_ANGLE_CAMERA","5:1    ","NAONLY ","LOW    ","1:1    ","UV     ",   7,15.3600,"                                                                                ","11111111","NONE  ","VG_0035 ","[SATURN.C4329XXX]C4329245.IMQ            ","VG_0035 ","[BROWSE.SATURN.C4329XXX]C4329245.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0434S2-024",43292.51,"1981-08-02T09:11:12Z","1981-08-02T10:34:13Z","NARROW_ANGLE_CAMERA","5:1    ","NAONLY ","LOW    ","1:1    ","BLUE   ",   2, 1.9200,"                                                                                ","11111111","NONE  ","VG_0035 ","[SATURN.C4329XXX]C4329251.IMQ            ","VG_0035 ","[BROWSE.SATURN.C4329XXX]C4329251.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0440S2-024",43292.57,"1981-08-02T09:16:00Z","1981-08-02T10:39:01Z","NARROW_ANGLE_CAMERA","5:1    ","BOTSIM ","LOW    ","1:1    ","GREEN  ",   5, 1.9200,"                                                                                ","11111111","NONE  ","VG_0035 ","[SATURN.C4329XXX]C4329257.IMQ            ","VG_0035 ","[BROWSE.SATURN.C4329XXX]C4329257.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0445S2-024",43293.02,"1981-08-02T09:16:00Z","1981-08-02T10:43:01Z","WIDE_ANGLE_CAMERA  ","5:1    ","BOTSIM ","LOW    ","1:1    ","BLUE   ",   1, 0.1200,"                                                                                ","11111111","NONE  ","VG_0035 ","[SATURN.C4329XXX]C4329302.IMQ            ","VG_0035 ","[BROWSE.SATURN.C4329XXX]C4329302.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0450S2-024",43293.07,"1981-08-02T09:24:00Z","1981-08-02T10:47:01Z","NARROW_ANGLE_CAMERA","5:1    ","NAONLY ","LOW    ","1:1    ","UV     ",   7,15.3600,"                                                                                ","11111111","NONE  ","VG_0035 ","[SATURN.C4329XXX]C4329307.IMQ            ","VG_0035 ","[BROWSE.SATURN.C4329XXX]C4329307.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0456S2-024",43293.13,"1981-08-02T09:28:48Z","1981-08-02T10:51:49Z","NARROW_ANGLE_CAMERA","5:1    ","NAONLY ","LOW    ","1:1    ","BLUE   ",   2, 1.9200,"                                                                                ","11111111","NONE  ","VG_0035 ","[SATURN.C4329XXX]C4329313.IMQ            ","VG_0035 ","[BROWSE.SATURN.C4329XXX]C4329313.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0462S2-024",43293.19,"1981-08-02T09:33:36Z","1981-08-02T10:56:37Z","NARROW_ANGLE_CAMERA","5:1    ","BOTSIM ","LOW    ","1:1    ","GREEN  ",   5, 1.9200,"                                                                                ","11111111","NONE  ","VG_0035 ","[SATURN.C4329XXX]C4329319.IMQ            ","VG_0035 ","[BROWSE.SATURN.C4329XXX]C4329319.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0467S2-024",43293.24,"1981-08-02T09:33:36Z","1981-08-02T11:00:37Z","WIDE_ANGLE_CAMERA  ","5:1    ","BOTSIM ","LOW    ","1:1    ","VIOLET ",   3, 0.2400,"                                                                                ","11111111","NONE  ","VG_0035 ","[SATURN.C4329XXX]C4329324.IMQ            ","VG_0035 ","[BROWSE.SATURN.C4329XXX]C4329324.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0472S2-024",43293.29,"1981-08-02T09:41:36Z","1981-08-02T11:04:37Z","NARROW_ANGLE_CAMERA","5:1    ","NAONLY ","LOW    ","1:1    ","UV     ",   7,15.3600,"                                                                                ","11111111","NONE  ","VG_0035 ","[SATURN.C4329XXX]C4329329.IMQ            ","VG_0035 ","[BROWSE.SATURN.C4329XXX]C4329329.IBG            "                                                                                               
