"VOYAGER_1","SATURN_ENCOUNTER ","SKY     ","1123S1-006",34782.39,"1980-11-07T14:40:34Z","1980-11-07T16:05:26Z","NARROW_ANGLE_CAMERA","3:1    ","NAONLY ","LOW    ","1:1    ","CLEAR  ",   0, 5.7600,"                                                                                ","11111111","NONE  ","VG_0029 ","[OTHER.SKY.C3478XXX]C3478239.IMQ         ","VG_0029 ","[BROWSE.OTHER.SKY.C3478XXX]C3478239.IBG         "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SKY     ","1127S1-006",34782.43,"1980-11-07T14:43:46Z","1980-11-07T16:08:38Z","NARROW_ANGLE_CAMERA","3:1    ","NAONLY ","LOW    ","1:1    ","CLEAR  ",   0, 5.7600,"                                                                                ","11111111","NONE  ","VG_0029 ","[OTHER.SKY.C3478XXX]C3478243.IMQ         ","VG_0029 ","[BROWSE.OTHER.SKY.C3478XXX]C3478243.IBG         "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SKY     ","1131S1-006",34782.47,"1980-11-07T14:46:58Z","1980-11-07T16:11:50Z","NARROW_ANGLE_CAMERA","3:1    ","NAONLY ","LOW    ","1:1    ","CLEAR  ",   0, 5.7600,"                                                                                ","11111111","NONE  ","VG_0029 ","[OTHER.SKY.C3478XXX]C3478247.IMQ         ","VG_0029 ","[BROWSE.OTHER.SKY.C3478XXX]C3478247.IBG         "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SKY     ","1135S1-006",34782.51,"1980-11-07T14:50:10Z","1980-11-07T16:15:02Z","NARROW_ANGLE_CAMERA","3:1    ","NAONLY ","LOW    ","1:1    ","CLEAR  ",   0, 5.7600,"                                                                                ","11111111","NONE  ","VG_0029 ","[OTHER.SKY.C3478XXX]C3478251.IMQ         ","VG_0029 ","[BROWSE.OTHER.SKY.C3478XXX]C3478251.IBG         "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SKY     ","1139S1-006",34782.55,"1980-11-07T14:53:22Z","1980-11-07T16:18:14Z","NARROW_ANGLE_CAMERA","3:1    ","NAONLY ","LOW    ","1:1    ","CLEAR  ",   0, 5.7600,"                                                                                ","11111111","NONE  ","VG_0029 ","[OTHER.SKY.C3478XXX]C3478255.IMQ         ","VG_0029 ","[BROWSE.OTHER.SKY.C3478XXX]C3478255.IBG         "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","RHEA    ","1143S1-006",34782.59,"1980-11-07T14:56:34Z","1980-11-07T16:21:26Z","NARROW_ANGLE_CAMERA","3:1    ","NAONLY ","LOW    ","1:1    ","CLEAR  ",   0, 5.7600,"                                                                                ","11111111","NONE  ","VG_0029 ","[RHEA.C3478XXX]C3478259.IMQ              ","VG_0029 ","[BROWSE.RHEA.C3478XXX]C3478259.IBG              "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","RHEA    ","1147S1-006",34783.03,"1980-11-07T14:59:46Z","1980-11-07T16:24:38Z","NARROW_ANGLE_CAMERA","3:1    ","NAONLY ","LOW    ","1:1    ","CLEAR  ",   0, 5.7600,"RESIDUAL IMAGE ONLY                                                             ","11111111","NONE  ","VG_0029 ","[RHEA.C3478XXX]C3478303.IMQ              ","VG_0029 ","[BROWSE.RHEA.C3478XXX]C3478303.IBG              "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SKY     ","1151S1-006",34783.07,"1980-11-07T15:02:58Z","1980-11-07T16:27:50Z","NARROW_ANGLE_CAMERA","3:1    ","NAONLY ","LOW    ","1:1    ","CLEAR  ",   0, 5.7600,"                                                                                ","11111111","NONE  ","VG_0029 ","[OTHER.SKY.C3478XXX]C3478307.IMQ         ","VG_0029 ","[BROWSE.OTHER.SKY.C3478XXX]C3478307.IBG         "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SKY     ","1155S1-006",34783.11,"1980-11-07T15:06:10Z","1980-11-07T16:31:02Z","NARROW_ANGLE_CAMERA","3:1    ","NAONLY ","LOW    ","1:1    ","CLEAR  ",   0, 5.7600,"                                                                                ","11111111","NONE  ","VG_0029 ","[OTHER.SKY.C3478XXX]C3478311.IMQ         ","VG_0029 ","[BROWSE.OTHER.SKY.C3478XXX]C3478311.IBG         "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SKY     ","1159S1-006",34783.15,"1980-11-07T15:09:22Z","1980-11-07T16:34:14Z","NARROW_ANGLE_CAMERA","3:1    ","NAONLY ","LOW    ","1:1    ","CLEAR  ",   0, 5.7600,"                                                                                ","11111111","NONE  ","VG_0029 ","[OTHER.SKY.C3478XXX]C3478315.IMQ         ","VG_0029 ","[BROWSE.OTHER.SKY.C3478XXX]C3478315.IBG         "                                                                                               
