"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0756S1-016",34476.32,"1980-10-28T09:46:58Z","1980-10-28T11:11:54Z","NARROW_ANGLE_CAMERA","3:1    ","NAONLY ","LOW    ","1:1    ","BLUE   ",   2, 1.4400,"                                                                                ","11111111","NONE  ","VG_0028 ","[SATURN.C3447XXX]C3447632.IMQ            ","VG_0028 ","[BROWSE.SATURN.C3447XXX]C3447632.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0760S1-016",34476.36,"1980-10-28T09:50:10Z","1980-10-28T11:15:06Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","GREEN  ",   5, 1.4400,"                                                                                ","11111111","NONE  ","VG_0028 ","[SATURN.C3447XXX]C3447636.IMQ            ","VG_0028 ","[BROWSE.SATURN.C3447XXX]C3447636.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0763S1-016",34476.39,"1980-10-28T09:50:10Z","1980-10-28T11:17:30Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","VIOLET ",   3, 0.9600,"                                                                                ","11111111","NONE  ","VG_0028 ","[SATURN.C3447XXX]C3447639.IMQ            ","VG_0028 ","[BROWSE.SATURN.C3447XXX]C3447639.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0766S1-016",34476.42,"1980-10-28T09:54:58Z","1980-10-28T11:19:54Z","NARROW_ANGLE_CAMERA","3:1    ","NAONLY ","LOW    ","1:1    ","VIOLET ",   1, 1.9200,"                                                                                ","11111111","NONE  ","VG_0028 ","[SATURN.C3447XXX]C3447642.IMQ            ","VG_0028 ","[BROWSE.SATURN.C3447XXX]C3447642.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0770S1-016",34476.46,"1980-10-28T09:58:10Z","1980-10-28T11:23:06Z","NARROW_ANGLE_CAMERA","3:1    ","NAONLY ","LOW    ","1:1    ","BLUE   ",   2, 1.4400,"                                                                                ","11111111","NONE  ","VG_0028 ","[SATURN.C3447XXX]C3447646.IMQ            ","VG_0028 ","[BROWSE.SATURN.C3447XXX]C3447646.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0774S1-016",34476.50,"1980-10-28T10:01:22Z","1980-10-28T11:26:18Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","GREEN  ",   5, 1.4400,"                                                                                ","11111111","NONE  ","VG_0028 ","[SATURN.C3447XXX]C3447650.IMQ            ","VG_0028 ","[BROWSE.SATURN.C3447XXX]C3447650.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0777S1-016",34476.53,"1980-10-28T10:01:22Z","1980-10-28T11:28:42Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","ORANGE ",   7, 1.9200,"                                                                                ","11111111","NONE  ","VG_0028 ","[SATURN.C3447XXX]C3447653.IMQ            ","VG_0028 ","[BROWSE.SATURN.C3447XXX]C3447653.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0780S1-016",34476.56,"1980-10-28T10:06:10Z","1980-10-28T11:31:06Z","NARROW_ANGLE_CAMERA","3:1    ","NAONLY ","LOW    ","1:1    ","VIOLET ",   1, 1.9200,"                                                                                ","11111111","NONE  ","VG_0028 ","[SATURN.C3447XXX]C3447656.IMQ            ","VG_0028 ","[BROWSE.SATURN.C3447XXX]C3447656.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0784S1-016",34477.00,"1980-10-28T10:09:22Z","1980-10-28T11:34:18Z","NARROW_ANGLE_CAMERA","3:1    ","NAONLY ","LOW    ","1:1    ","BLUE   ",   2, 1.4400,"                                                                                ","11111111","NONE  ","VG_0028 ","[SATURN.C3447XXX]C3447700.IMQ            ","VG_0028 ","[BROWSE.SATURN.C3447XXX]C3447700.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0788S1-016",34477.04,"1980-10-28T10:12:34Z","1980-10-28T11:37:30Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","GREEN  ",   5, 1.4400,"                                                                                ","11111111","NONE  ","VG_0028 ","[SATURN.C3447XXX]C3447704.IMQ            ","VG_0028 ","[BROWSE.SATURN.C3447XXX]C3447704.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0791S1-016",34477.07,"1980-10-28T10:12:34Z","1980-10-28T11:39:54Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","CH4_JS ",   0, 7.6800,"                                                                                ","11111111","NONE  ","VG_0028 ","[SATURN.C3447XXX]C3447707.IMQ            ","VG_0028 ","[BROWSE.SATURN.C3447XXX]C3447707.IBG            "                                                                                               
