"VOYAGER_2","SATURN_ENCOUNTER ","S_RINGS ","0563S2-005",43865.00,"1981-08-21T10:54:23Z","1981-08-21T12:20:18Z","NARROW_ANGLE_CAMERA","3:1    ","NAONLY ","LOW    ","1:1    ","CLEAR  ",   0, 0.9600,"                                                                                ","11111111","NONE  ","VG_0037 ","[S_RINGS.C4386XXX]C4386500.IMQ           ","VG_0037 ","[BROWSE.S_RINGS.C4386XXX]C4386500.IBG           "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","S_RINGS ","0567S2-005",43865.04,"1981-08-21T10:57:35Z","1981-08-21T12:23:30Z","NARROW_ANGLE_CAMERA","3:1    ","NAONLY ","LOW    ","1:1    ","CLEAR  ",   0, 0.9600,"                                                                                ","11111111","NONE  ","VG_0037 ","[S_RINGS.C4386XXX]C4386504.IMQ           ","VG_0037 ","[BROWSE.S_RINGS.C4386XXX]C4386504.IBG           "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0579S2-005",43865.16,"1981-08-21T11:07:11Z","1981-08-21T12:33:06Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","GREEN  ",   5, 1.9200,"                                                                                ","11111111","NONE  ","VG_0037 ","[SATURN.C4386XXX]C4386516.IMQ            ","VG_0037 ","[BROWSE.SATURN.C4386XXX]C4386516.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0582S2-005",43865.19,"1981-08-21T11:07:11Z","1981-08-21T12:35:30Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","GREEN  ",   5, 0.2400,"                                                                                ","11111111","NONE  ","VG_0037 ","[SATURN.C4386XXX]C4386519.IMQ            ","VG_0037 ","[BROWSE.SATURN.C4386XXX]C4386519.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0586S2-005",43865.23,"1981-08-21T11:12:47Z","1981-08-21T12:38:42Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","GREEN  ",   5, 1.9200,"                                                                                ","11111111","NONE  ","VG_0037 ","[SATURN.C4386XXX]C4386523.IMQ            ","VG_0037 ","[BROWSE.SATURN.C4386XXX]C4386523.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0589S2-005",43865.26,"1981-08-21T11:12:47Z","1981-08-21T12:41:06Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","ORANGE ",   7, 0.9600,"                                                                                ","11111111","NONE  ","VG_0037 ","[SATURN.C4386XXX]C4386526.IMQ            ","VG_0037 ","[BROWSE.SATURN.C4386XXX]C4386526.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0593S2-005",43865.30,"1981-08-21T11:18:23Z","1981-08-21T12:44:18Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","GREEN  ",   5, 1.9200,"                                                                                ","11111111","NONE  ","VG_0037 ","[SATURN.C4386XXX]C4386530.IMQ            ","VG_0037 ","[BROWSE.SATURN.C4386XXX]C4386530.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0596S2-005",43865.33,"1981-08-21T11:18:23Z","1981-08-21T12:46:42Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","BLUE   ",   1, 0.2400,"                                                                                ","11111111","NONE  ","VG_0037 ","[SATURN.C4386XXX]C4386533.IMQ            ","VG_0037 ","[BROWSE.SATURN.C4386XXX]C4386533.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0600S2-005",43865.37,"1981-08-21T11:23:59Z","1981-08-21T12:49:54Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","GREEN  ",   5, 1.9200,"                                                                                ","11111111","NONE  ","VG_0037 ","[SATURN.C4386XXX]C4386537.IMQ            ","VG_0037 ","[BROWSE.SATURN.C4386XXX]C4386537.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0603S2-005",43865.40,"1981-08-21T11:23:59Z","1981-08-21T12:52:18Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","VIOLET ",   3, 0.9600,"                                                                                ","11111111","NONE  ","VG_0037 ","[SATURN.C4386XXX]C4386540.IMQ            ","VG_0037 ","[BROWSE.SATURN.C4386XXX]C4386540.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0607S2-005",43865.44,"1981-08-21T11:29:35Z","1981-08-21T12:55:30Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","GREEN  ",   5, 1.9200,"                                                                                ","11111111","NONE  ","VG_0037 ","[SATURN.C4386XXX]C4386544.IMQ            ","VG_0037 ","[BROWSE.SATURN.C4386XXX]C4386544.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0610S2-005",43865.47,"1981-08-21T11:29:35Z","1981-08-21T12:57:54Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","ORANGE ",   7, 0.9600,"                                                                                ","11111111","NONE  ","VG_0037 ","[SATURN.C4386XXX]C4386547.IMQ            ","VG_0037 ","[BROWSE.SATURN.C4386XXX]C4386547.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0614S2-005",43865.51,"1981-08-21T11:35:11Z","1981-08-21T13:01:06Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","GREEN  ",   5, 1.9200,"                                                                                ","11111111","NONE  ","VG_0037 ","[SATURN.C4386XXX]C4386551.IMQ            ","VG_0037 ","[BROWSE.SATURN.C4386XXX]C4386551.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0617S2-005",43865.54,"1981-08-21T11:35:11Z","1981-08-21T13:03:30Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","BLUE   ",   1, 0.2400,"                                                                                ","11111111","NONE  ","VG_0037 ","[SATURN.C4386XXX]C4386554.IMQ            ","VG_0037 ","[BROWSE.SATURN.C4386XXX]C4386554.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0621S2-005",43865.58,"1981-08-21T11:40:47Z","1981-08-21T13:06:42Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","GREEN  ",   5, 1.9200,"                                                                                ","11111111","NONE  ","VG_0037 ","[SATURN.C4386XXX]C4386558.IMQ            ","VG_0037 ","[BROWSE.SATURN.C4386XXX]C4386558.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0624S2-005",43866.01,"1981-08-21T11:40:47Z","1981-08-21T13:09:06Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","VIOLET ",   3, 0.9600,"                                                                                ","11111111","NONE  ","VG_0037 ","[SATURN.C4386XXX]C4386601.IMQ            ","VG_0037 ","[BROWSE.SATURN.C4386XXX]C4386601.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0628S2-005",43866.05,"1981-08-21T11:46:23Z","1981-08-21T13:12:18Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","GREEN  ",   5, 1.9200,"                                                                                ","11111111","NONE  ","VG_0037 ","[SATURN.C4386XXX]C4386605.IMQ            ","VG_0037 ","[BROWSE.SATURN.C4386XXX]C4386605.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0631S2-005",43866.08,"1981-08-21T11:46:23Z","1981-08-21T13:14:42Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","GREEN  ",   5, 0.2400,"                                                                                ","11111111","NONE  ","VG_0037 ","[SATURN.C4386XXX]C4386608.IMQ            ","VG_0037 ","[BROWSE.SATURN.C4386XXX]C4386608.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","TITAN   ","0710S2-005",43867.27,"1981-08-21T12:51:59Z","1981-08-21T14:17:59Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:3    ","CLEAR  ",   0, 0.7200,"                                                                                ","11111111","NONE  ","VG_0037 ","[TITAN.C4386XXX]C4386727.IMQ             ","VG_0037 ","[BROWSE.TITAN.C4386XXX]C4386727.IBG             "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","TITAN   ","0713S2-005",43867.30,"1981-08-21T12:54:23Z","1981-08-21T14:20:19Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:3    ","VIOLET ",   1, 3.8400,"                                                                                ","11111111","NONE  ","VG_0037 ","[TITAN.C4386XXX]C4386730.IMQ             ","VG_0037 ","[BROWSE.TITAN.C4386XXX]C4386730.IBG             "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","TITAN   ","0716S2-005",43867.33,"1981-08-21T12:56:47Z","1981-08-21T14:22:43Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:3    ","BLUE   ",   2, 1.9200,"                                                                                ","11111111","NONE  ","VG_0037 ","[TITAN.C4386XXX]C4386733.IMQ             ","VG_0037 ","[BROWSE.TITAN.C4386XXX]C4386733.IBG             "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","TITAN   ","0719S2-005",43867.36,"1981-08-21T12:59:11Z","1981-08-21T14:25:07Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:3    ","ORANGE ",   3, 3.8400,"                                                                                ","11111111","NONE  ","VG_0037 ","[TITAN.C4386XXX]C4386736.IMQ             ","VG_0037 ","[BROWSE.TITAN.C4386XXX]C4386736.IBG             "                                                                                               
