"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1572S1+022",35630.08,"1980-12-05T20:37:23Z","1980-12-05T22:02:52Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","CLEAR  ",   2, 3.8400,"                                                                                ","11111111","NONE  ","VG_0032 ","[SATURN.C3563XXX]C3563008.IMQ            ","VG_0032 ","[BROWSE.SATURN.C3563XXX]C3563008.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1576S1+022",35630.12,"1980-12-05T20:42:59Z","1980-12-05T22:06:04Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","BLUE   ",   2, 1.4400,"                                                                                ","11111111","NONE  ","VG_0032 ","[SATURN.C3563XXX]C3563012.IMQ            ","VG_0032 ","[BROWSE.SATURN.C3563XXX]C3563012.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1579S1+022",35630.15,"1980-12-05T20:42:59Z","1980-12-05T22:08:27Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","CLEAR  ",   2, 3.8400,"                                                                                ","11111111","NONE  ","VG_0032 ","[SATURN.C3563XXX]C3563015.IMQ            ","VG_0032 ","[BROWSE.SATURN.C3563XXX]C3563015.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1583S1+022",35630.19,"1980-12-05T20:48:35Z","1980-12-05T22:11:39Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","GREEN  ",   5, 1.4400,"                                                                                ","11111111","NONE  ","VG_0032 ","[SATURN.C3563XXX]C3563019.IMQ            ","VG_0032 ","[BROWSE.SATURN.C3563XXX]C3563019.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1586S1+022",35630.22,"1980-12-05T20:48:35Z","1980-12-05T22:14:03Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","CLEAR  ",   2, 3.8400,"                                                                                ","11111111","NONE  ","VG_0032 ","[SATURN.C3563XXX]C3563022.IMQ            ","VG_0032 ","[BROWSE.SATURN.C3563XXX]C3563022.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1590S1+022",35630.26,"1980-12-05T20:54:11Z","1980-12-05T22:17:15Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","UV     ",   7,15.3600,"                                                                                ","11111111","NONE  ","VG_0032 ","[SATURN.C3563XXX]C3563026.IMQ            ","VG_0032 ","[BROWSE.SATURN.C3563XXX]C3563026.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1593S1+022",35630.29,"1980-12-05T20:54:11Z","1980-12-05T22:19:39Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","CLEAR  ",   2, 3.8400,"                                                                                ","11111111","NONE  ","VG_0032 ","[SATURN.C3563XXX]C3563029.IMQ            ","VG_0032 ","[BROWSE.SATURN.C3563XXX]C3563029.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1597S1+022",35630.33,"1980-12-05T20:59:47Z","1980-12-05T22:22:51Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","VIOLET ",   1, 1.9200,"                                                                                ","11111111","NONE  ","VG_0032 ","[SATURN.C3563XXX]C3563033.IMQ            ","VG_0032 ","[BROWSE.SATURN.C3563XXX]C3563033.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1600S1+022",35630.36,"1980-12-05T20:59:47Z","1980-12-05T22:25:15Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","CLEAR  ",   2, 3.8400,"                                                                                ","11111111","NONE  ","VG_0032 ","[SATURN.C3563XXX]C3563036.IMQ            ","VG_0032 ","[BROWSE.SATURN.C3563XXX]C3563036.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1604S1+022",35630.40,"1980-12-05T21:05:23Z","1980-12-05T22:28:27Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","BLUE   ",   2, 1.4400,"                                                                                ","11111111","NONE  ","VG_0032 ","[SATURN.C3563XXX]C3563040.IMQ            ","VG_0032 ","[BROWSE.SATURN.C3563XXX]C3563040.IBG            "                                                                                               
