"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1630S1+002",35031.06,"1980-11-15T21:22:11Z","1980-11-15T22:50:47Z","WIDE_ANGLE_CAMERA  ","5:1    ","BOTSIM ","LOW    ","1:1    ","ORANGE ",   7, 1.4400,"                                                                                ","11111111","NONE  ","VG_0030 ","[SATURN.C3503XXX]C3503106.IMQ            ","VG_0030 ","[BROWSE.SATURN.C3503XXX]C3503106.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1655S1+002",35031.31,"1980-11-15T21:46:11Z","1980-11-15T23:10:47Z","NARROW_ANGLE_CAMERA","5:1    ","BOTSIM ","LOW    ","1:1    ","GREEN  ",   5, 1.4400,"                                                                                ","11111111","NONE  ","VG_0030 ","[SATURN.C3503XXX]C3503131.IMQ            ","VG_0030 ","[BROWSE.SATURN.C3503XXX]C3503131.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1660S1+002",35031.36,"1980-11-15T21:46:11Z","1980-11-15T23:14:47Z","WIDE_ANGLE_CAMERA  ","5:1    ","BOTSIM ","LOW    ","1:1    ","CH4_JS ",   0, 3.8400,"                                                                                ","11111111","NONE  ","VG_0030 ","[SATURN.C3503XXX]C3503136.IMQ            ","VG_0030 ","[BROWSE.SATURN.C3503XXX]C3503136.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1685S1+002",35032.01,"1980-11-15T22:10:11Z","1980-11-15T23:34:47Z","NARROW_ANGLE_CAMERA","5:1    ","BOTSIM ","LOW    ","1:1    ","GREEN  ",   5, 1.4400,"                                                                                ","11111111","NONE  ","VG_0030 ","[SATURN.C3503XXX]C3503201.IMQ            ","VG_0030 ","[BROWSE.SATURN.C3503XXX]C3503201.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1690S1+002",35032.06,"1980-11-15T22:10:11Z","1980-11-15T23:38:47Z","WIDE_ANGLE_CAMERA  ","5:1    ","BOTSIM ","LOW    ","1:1    ","BLUE   ",   1, 0.2400,"                                                                                ","11111111","NONE  ","VG_0030 ","[SATURN.C3503XXX]C3503206.IMQ            ","VG_0030 ","[BROWSE.SATURN.C3503XXX]C3503206.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","TITAN   ","1716S1+002",35032.32,"1980-11-15T22:34:59Z","1980-11-15T23:59:35Z","NARROW_ANGLE_CAMERA","3:1    ","NAONLY ","LOW    ","1:1    ","VIOLET ",   1, 2.8800,"                                                                                ","11111111","NONE  ","VG_0030 ","[TITAN]C3503232.IMQ                      ","VG_0030 ","[BROWSE.TITAN]C3503232.IBG                      "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","TITAN   ","1720S1+002",35032.36,"1980-11-15T22:38:11Z","1980-11-16T00:02:47Z","NARROW_ANGLE_CAMERA","3:1    ","NAONLY ","LOW    ","1:1    ","GREEN  ",   5, 1.9200,"                                                                                ","11111111","NONE  ","VG_0030 ","[TITAN]C3503236.IMQ                      ","VG_0030 ","[BROWSE.TITAN]C3503236.IBG                      "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1727S1+002",35032.43,"1980-11-15T22:43:47Z","1980-11-16T00:08:23Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","GREEN  ",   5, 1.4400,"                                                                                ","11111111","NONE  ","VG_0030 ","[SATURN.C3503XXX]C3503243.IMQ            ","VG_0030 ","[BROWSE.SATURN.C3503XXX]C3503243.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1730S1+002",35032.46,"1980-11-15T22:43:47Z","1980-11-16T00:10:47Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","BLUE   ",   1, 0.2400,"                                                                                ","11111111","NONE  ","VG_0030 ","[SATURN.C3503XXX]C3503246.IMQ            ","VG_0030 ","[BROWSE.SATURN.C3503XXX]C3503246.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1734S1+002",35032.50,"1980-11-15T22:49:23Z","1980-11-16T00:13:59Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","GREEN  ",   5, 1.4400,"                                                                                ","11111111","NONE  ","VG_0030 ","[SATURN.C3503XXX]C3503250.IMQ            ","VG_0030 ","[BROWSE.SATURN.C3503XXX]C3503250.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1737S1+002",35032.53,"1980-11-15T22:49:23Z","1980-11-16T00:16:23Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","VIOLET ",   3, 0.7200,"                                                                                ","11111111","NONE  ","VG_0030 ","[SATURN.C3503XXX]C3503253.IMQ            ","VG_0030 ","[BROWSE.SATURN.C3503XXX]C3503253.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1741S1+002",35032.57,"1980-11-15T22:54:59Z","1980-11-16T00:19:35Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","GREEN  ",   5, 1.4400,"                                                                                ","11111111","NONE  ","VG_0030 ","[SATURN.C3503XXX]C3503257.IMQ            ","VG_0030 ","[BROWSE.SATURN.C3503XXX]C3503257.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1744S1+002",35033.00,"1980-11-15T22:54:59Z","1980-11-16T00:21:59Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","ORANGE ",   7, 1.4400,"                                                                                ","11111111","NONE  ","VG_0030 ","[SATURN.C3503XXX]C3503300.IMQ            ","VG_0030 ","[BROWSE.SATURN.C3503XXX]C3503300.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1748S1+002",35033.04,"1980-11-15T23:00:35Z","1980-11-16T00:25:11Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","GREEN  ",   5, 1.4400,"                                                                                ","11111111","NONE  ","VG_0030 ","[SATURN.C3503XXX]C3503304.IMQ            ","VG_0030 ","[BROWSE.SATURN.C3503XXX]C3503304.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1751S1+002",35033.07,"1980-11-15T23:00:35Z","1980-11-16T00:27:35Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","CH4_JS ",   0, 3.8400,"                                                                                ","11111111","NONE  ","VG_0030 ","[SATURN.C3503XXX]C3503307.IMQ            ","VG_0030 ","[BROWSE.SATURN.C3503XXX]C3503307.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1758S1+002",35033.14,"1980-11-15T23:08:35Z","1980-11-16T00:33:11Z","WIDE_ANGLE_CAMERA  ","3:1    ","WAONLY ","LOW    ","1:1    ","VIOLET ",   3, 0.4800,"                                                                                ","11111111","NONE  ","VG_0030 ","[SATURN.C3503XXX]C3503314.IMQ            ","VG_0030 ","[BROWSE.SATURN.C3503XXX]C3503314.IBG            "                                                                                               
