"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1795S1+013",35363.51,"1980-11-26T23:35:47Z","1980-11-27T01:02:00Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","CLEAR  ",   2, 2.8800,"                                                                                ","11111111","NONE  ","VG_0031 ","[SATURN.C3536XXX]C3536351.IMQ            ","VG_0031 ","[BROWSE.SATURN.C3536XXX]C3536351.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1799S1+013",35363.55,"1980-11-26T23:41:23Z","1980-11-27T01:05:12Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","BLUE   ",   2, 1.4400,"                                                                                ","11111111","NONE  ","VG_0031 ","[SATURN.C3536XXX]C3536355.IMQ            ","VG_0031 ","[BROWSE.SATURN.C3536XXX]C3536355.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0002S1+013",35363.58,"1980-11-26T23:41:23Z","1980-11-27T01:07:36Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","CLEAR  ",   2, 2.8800,"                                                                                ","11111111","NONE  ","VG_0031 ","[SATURN.C3536XXX]C3536358.IMQ            ","VG_0031 ","[BROWSE.SATURN.C3536XXX]C3536358.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0006S1+014",35364.02,"1980-11-26T23:46:59Z","1980-11-27T01:10:48Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","GREEN  ",   5, 1.4400,"                                                                                ","11111111","NONE  ","VG_0031 ","[SATURN.C3536XXX]C3536402.IMQ            ","VG_0031 ","[BROWSE.SATURN.C3536XXX]C3536402.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0009S1+014",35364.05,"1980-11-26T23:46:59Z","1980-11-27T01:13:12Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","CLEAR  ",   2, 2.8800,"                                                                                ","11111111","NONE  ","VG_0031 ","[SATURN.C3536XXX]C3536405.IMQ            ","VG_0031 ","[BROWSE.SATURN.C3536XXX]C3536405.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0013S1+014",35364.09,"1980-11-26T23:52:35Z","1980-11-27T01:16:24Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","3:5    ","VIOLET ",   1, 1.9200,"                                                                                ","11111111","NONE  ","VG_0031 ","[SATURN.C3536XXX]C3536409.IMQ            ","VG_0031 ","[BROWSE.SATURN.C3536XXX]C3536409.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0016S1+014",35364.12,"1980-11-26T23:52:35Z","1980-11-27T01:18:48Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","3:5    ","CLEAR  ",   2, 2.8800,"                                                                                ","11111111","NONE  ","VG_0031 ","[SATURN.C3536XXX]C3536412.IMQ            ","VG_0031 ","[BROWSE.SATURN.C3536XXX]C3536412.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0020S1+014",35364.16,"1980-11-26T23:58:11Z","1980-11-27T01:22:00Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","3:5    ","BLUE   ",   2, 1.4400,"                                                                                ","11111111","NONE  ","VG_0031 ","[SATURN.C3536XXX]C3536416.IMQ            ","VG_0031 ","[BROWSE.SATURN.C3536XXX]C3536416.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0023S1+014",35364.19,"1980-11-26T23:58:11Z","1980-11-27T01:24:24Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","3:5    ","CLEAR  ",   2, 2.8800,"                                                                                ","11111111","NONE  ","VG_0031 ","[SATURN.C3536XXX]C3536419.IMQ            ","VG_0031 ","[BROWSE.SATURN.C3536XXX]C3536419.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0027S1+014",35364.23,"1980-11-27T00:03:47Z","1980-11-27T01:27:36Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","3:5    ","GREEN  ",   5, 1.4400,"                                                                                ","11111111","NONE  ","VG_0031 ","[SATURN.C3536XXX]C3536423.IMQ            ","VG_0031 ","[BROWSE.SATURN.C3536XXX]C3536423.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0030S1+014",35364.26,"1980-11-27T00:03:47Z","1980-11-27T01:30:00Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","3:5    ","CLEAR  ",   2, 2.8800,"                                                                                ","11111111","NONE  ","VG_0031 ","[SATURN.C3536XXX]C3536426.IMQ            ","VG_0031 ","[BROWSE.SATURN.C3536XXX]C3536426.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0034S1+014",35364.30,"1980-11-27T00:09:23Z","1980-11-27T01:33:12Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","3:5    ","VIOLET ",   1, 1.9200,"                                                                                ","11111111","NONE  ","VG_0031 ","[SATURN.C3536XXX]C3536430.IMQ            ","VG_0031 ","[BROWSE.SATURN.C3536XXX]C3536430.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0037S1+014",35364.33,"1980-11-27T00:09:23Z","1980-11-27T01:35:36Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","3:5    ","CLEAR  ",   2, 2.8800,"                                                                                ","11111111","NONE  ","VG_0031 ","[SATURN.C3536XXX]C3536433.IMQ            ","VG_0031 ","[BROWSE.SATURN.C3536XXX]C3536433.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0041S1+014",35364.37,"1980-11-27T00:14:59Z","1980-11-27T01:38:48Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","3:5    ","BLUE   ",   2, 1.4400,"                                                                                ","11111111","NONE  ","VG_0031 ","[SATURN.C3536XXX]C3536437.IMQ            ","VG_0031 ","[BROWSE.SATURN.C3536XXX]C3536437.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0044S1+014",35364.40,"1980-11-27T00:14:59Z","1980-11-27T01:41:12Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","3:5    ","CLEAR  ",   2, 2.8800,"                                                                                ","11111111","NONE  ","VG_0031 ","[SATURN.C3536XXX]C3536440.IMQ            ","VG_0031 ","[BROWSE.SATURN.C3536XXX]C3536440.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0048S1+014",35364.44,"1980-11-27T00:20:35Z","1980-11-27T01:44:24Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","3:5    ","GREEN  ",   5, 1.4400,"                                                                                ","11111111","NONE  ","VG_0031 ","[SATURN.C3536XXX]C3536444.IMQ            ","VG_0031 ","[BROWSE.SATURN.C3536XXX]C3536444.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0051S1+014",35364.47,"1980-11-27T00:20:35Z","1980-11-27T01:46:48Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","3:5    ","CLEAR  ",   2, 2.8800,"                                                                                ","11111111","NONE  ","VG_0031 ","[SATURN.C3536XXX]C3536447.IMQ            ","VG_0031 ","[BROWSE.SATURN.C3536XXX]C3536447.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","DARK    ","0056S1+014",35364.52,"1980-11-27T00:26:59Z","1980-11-27T01:50:48Z","NARROW_ANGLE_CAMERA","3:1    ","BODARK ","LOW    ","3:5    ","CLEAR  ",   0, 0.1800,"                                                                                ","11111111","NONE  ","VG_0031 ","[CALIB.DARK]C3536452.IMQ                 ","VG_0031 ","[BROWSE.CALIB.DARK]C3536452.IBG                 "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","DARK    ","0059S1+014",35364.55,"1980-11-27T00:29:23Z","1980-11-27T01:53:12Z","WIDE_ANGLE_CAMERA  ","3:1    ","BODARK ","LOW    ","3:5    ","CLEAR  ",   2, 0.0900,"                                                                                ","11111111","NONE  ","VG_0031 ","[CALIB.DARK]C3536455.IMQ                 ","VG_0031 ","[BROWSE.CALIB.DARK]C3536455.IBG                 "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","DARK    ","0062S1+014",35364.58,"1980-11-27T00:31:47Z","1980-11-27T01:55:35Z","NARROW_ANGLE_CAMERA","3:1    ","BODARK ","LOW    ","3:5    ","CLEAR  ",   0, 0.1800,"                                                                                ","11111111","NONE  ","VG_0031 ","[CALIB.DARK]C3536458.IMQ                 ","VG_0031 ","[BROWSE.CALIB.DARK]C3536458.IBG                 "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","DARK    ","0065S1+014",35365.01,"1980-11-27T00:34:11Z","1980-11-27T01:57:59Z","WIDE_ANGLE_CAMERA  ","3:1    ","BODARK ","LOW    ","3:5    ","CLEAR  ",   2, 0.0900,"                                                                                ","11111111","NONE  ","VG_0031 ","[CALIB.DARK]C3536501.IMQ                 ","VG_0031 ","[BROWSE.CALIB.DARK]C3536501.IBG                 "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","DARK    ","0087S1+014",35365.23,"1980-11-27T00:51:47Z","1980-11-27T02:15:35Z","NARROW_ANGLE_CAMERA","3:1    ","BODARK ","LOW    ","3:5    ","CLEAR  ",   0, 0.1800,"                                                                                ","11111111","NONE  ","VG_0031 ","[CALIB.DARK]C3536523.IMQ                 ","VG_0031 ","[BROWSE.CALIB.DARK]C3536523.IBG                 "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","DARK    ","0090S1+014",35365.26,"1980-11-27T00:54:11Z","1980-11-27T02:17:59Z","WIDE_ANGLE_CAMERA  ","3:1    ","BODARK ","LOW    ","3:5    ","CLEAR  ",   2, 0.0900,"                                                                                ","11111111","NONE  ","VG_0031 ","[CALIB.DARK]C3536526.IMQ                 ","VG_0031 ","[BROWSE.CALIB.DARK]C3536526.IBG                 "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","DARK    ","0093S1+014",35365.29,"1980-11-27T00:56:35Z","1980-11-27T02:20:23Z","NARROW_ANGLE_CAMERA","3:1    ","BODARK ","LOW    ","3:5    ","CLEAR  ",   0, 0.1800,"                                                                                ","11111111","NONE  ","VG_0031 ","[CALIB.DARK]C3536529.IMQ                 ","VG_0031 ","[BROWSE.CALIB.DARK]C3536529.IBG                 "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","DARK    ","0096S1+014",35365.32,"1980-11-27T00:58:59Z","1980-11-27T02:22:47Z","WIDE_ANGLE_CAMERA  ","3:1    ","BODARK ","LOW    ","3:5    ","CLEAR  ",   2, 0.0900,"                                                                                ","11111111","NONE  ","VG_0031 ","[CALIB.DARK]C3536532.IMQ                 ","VG_0031 ","[BROWSE.CALIB.DARK]C3536532.IBG                 "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0914S1+014",35379.10,"1980-11-27T11:53:23Z","1980-11-27T13:17:09Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","VIOLET ",   1, 1.9200,"                                                                                ","11111111","NONE  ","VG_0031 ","[SATURN.C3537XXX]C3537910.IMQ            ","VG_0031 ","[BROWSE.SATURN.C3537XXX]C3537910.IBG            "                                                                                               
