"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1485S1-010",34668.41,"1980-11-03T19:27:46Z","1980-11-03T20:55:05Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","BLUE   ",   1, 0.3600,"                                                                                ","11111111","NONE  ","VG_0033 ","[FOUND]C3466841.IMQ                      ","VG_0033 ","[BROWSE.SATURN.C3466XXX]C3466841.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1489S1-010",34668.45,"1980-11-03T19:33:22Z","1980-11-03T20:58:17Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","VIOLET ",   1, 1.9200,"                                                                                ","11111111","NONE  ","VG_0033 ","[FOUND]C3466845.IMQ                      ","VG_0033 ","[BROWSE.SATURN.C3466XXX]C3466845.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1492S1-010",34668.48,"1980-11-03T19:33:22Z","1980-11-03T21:00:41Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","VIOLET ",   3, 0.9600,"                                                                                ","11111111","NONE  ","VG_0033 ","[FOUND]C3466848.IMQ                      ","VG_0033 ","[BROWSE.SATURN.C3466XXX]C3466848.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1495S1-010",34668.51,"1980-11-03T19:38:10Z","1980-11-03T21:03:05Z","NARROW_ANGLE_CAMERA","3:1    ","NAONLY ","LOW    ","1:1    ","ORANGE ",   3, 2.8800,"                                                                                ","11111111","NONE  ","VG_0033 ","[FOUND]C3466851.IMQ                      ","VG_0033 ","[BROWSE.SATURN.C3466XXX]C3466851.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1500S1-010",34668.56,"1980-11-03T19:42:10Z","1980-11-03T21:07:05Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","BLUE   ",   2, 1.4400,"                                                                                ","11111111","NONE  ","VG_0033 ","[FOUND]C3466856.IMQ                      ","VG_0033 ","[BROWSE.SATURN.C3466XXX]C3466856.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1503S1-010",34668.59,"1980-11-03T19:42:10Z","1980-11-03T21:09:29Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","ORANGE ",   7, 1.9200,"                                                                                ","11111111","NONE  ","VG_0033 ","[FOUND]C3466859.IMQ                      ","VG_0033 ","[BROWSE.SATURN.C3466XXX]C3466859.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1507S1-010",34669.03,"1980-11-03T19:47:46Z","1980-11-03T21:12:41Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","VIOLET ",   1, 1.9200,"                                                                                ","11111111","NONE  ","VG_0033 ","[FOUND]C3466903.IMQ                      ","VG_0033 ","[BROWSE.SATURN.C3466XXX]C3466903.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1510S1-010",34669.06,"1980-11-03T19:47:46Z","1980-11-03T21:15:05Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","CH4_JS ",   0, 7.6800,"                                                                                ","11111111","NONE  ","VG_0033 ","[FOUND]C3466906.IMQ                      ","VG_0033 ","[BROWSE.SATURN.C3466XXX]C3466906.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","TITAN   ","0451S1-005",34801.27,"1980-11-08T05:42:58Z","1980-11-08T07:08:39Z","NARROW_ANGLE_CAMERA","3:1    ","NAONLY ","LOW    ","1:1    ","UV     ",   7,15.3600,"                                                                                ","11111111","NONE  ","VG_0033 ","[FOUND]C3480127.IMQ                      ","VG_0033 ","[BROWSE.TITAN]C3480127.IBG                      "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0630S1-005",34804.26,"1980-11-08T08:06:10Z","1980-11-08T09:32:37Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","GREEN  ",   5, 1.4400,"                                                                                ","11111111","NONE  ","VG_0033 ","[FOUND]C3480426.IMQ                      ","VG_0033 ","[BROWSE.SATURN.C3480XXX]C3480426.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0766S1-005",34806.42,"1980-11-08T09:54:58Z","1980-11-08T11:20:41Z","NARROW_ANGLE_CAMERA","3:1    ","NAONLY ","LOW    ","1:1    ","GREEN  ",   5, 1.4400,"                                                                                ","11111111","NONE  ","VG_0033 ","[FOUND]C3480642.IMQ                      ","VG_0033 ","[BROWSE.SATURN.C3480XXX]C3480642.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SKY     ","0855S1-003",34868.11,"1980-11-10T11:06:10Z","1980-11-10T12:33:02Z","NARROW_ANGLE_CAMERA","3:1    ","BOTALT ","LOW    ","2:3    ","GREEN  ",   5, 1.4400,"                                                                                ","11111111","NONE  ","VG_0033 ","[FOUND]C3486811.IMQ                      ","VG_0033 ","[BROWSE.OTHER.SKY]C3486811.IBG                  "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0746S1+000",34956.22,"1980-11-13T09:38:58Z","1980-11-13T11:05:18Z","WIDE_ANGLE_CAMERA  ","3:1    ","WAONLY ","LOW    ","1:1    ","BLUE   ",   1, 0.7200,"                                                                                ","11111111","NONE  ","VG_0033 ","[FOUND]C3495622.IMQ                      ","VG_0033 ","[BROWSE.SATURN.C3495XXX]C3495622.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1551S1+005",35119.47,"1980-11-18T20:22:59Z","1980-11-18T21:48:45Z","WIDE_ANGLE_CAMERA  ","5:1    ","WAONLY ","LOW    ","1:1    ","GREEN  ",   5, 0.4800,"                                                                                ","11111111","NONE  ","VG_0033 ","[FOUND]C3511947.IMQ                      ","VG_0033 ","[BROWSE.SATURN.C3511XXX]C3511947.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0008S1+019",35514.04,"1980-12-01T23:48:35Z","1980-12-02T01:12:59Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","2:3    ","UV     ",   7,15.3600,"                                                                                ","11111111","NONE  ","VG_0033 ","[FOUND]C3551404.IMQ                      ","VG_0033 ","[BROWSE.SATURN.C3551XXX]C3551404.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1476S1+019",35538.32,"1980-12-02T19:22:59Z","1980-12-02T20:46:19Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","BLUE   ",   2, 1.4400,"                                                                                ","11111111","NONE  ","VG_0033 ","[FOUND]C3553832.IMQ                      ","VG_0033 ","[BROWSE.SATURN.C3553XXX]C3553832.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1031S1+023",35651.07,"1980-12-06T13:26:59Z","1980-12-06T14:51:16Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","VIOLET ",   1, 1.9200,"                                                                                ","11111111","NONE  ","VG_0033 ","[FOUND]C3565107.IMQ                      ","VG_0033 ","[BROWSE.SATURN.C3565XXX]C3565107.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1756S1+023",35663.12,"1980-12-06T23:06:59Z","1980-12-07T00:29:58Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","GREEN  ",   5, 1.4400,"                                                                                ","11111111","NONE  ","VG_0033 ","[FOUND]C3566312.IMQ                      ","VG_0033 ","[BROWSE.SATURN.C3566XXX]C3566312.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1163S1+031",35893.19,"1980-12-14T15:10:11Z","1980-12-14T16:34:52Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","CLEAR  ",   2, 3.8400,"                                                                                ","11111111","NONE  ","VG_0033 ","[SATURN.C3589XXX]C3589319.IMQ            ","VG_0033 ","[BROWSE.SATURN.C3589XXX]C3589319.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1167S1+031",35893.23,"1980-12-14T15:15:47Z","1980-12-14T16:38:04Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","GREEN  ",   5, 1.4400,"                                                                                ","11111111","NONE  ","VG_0033 ","[SATURN.C3589XXX]C3589323.IMQ            ","VG_0033 ","[BROWSE.SATURN.C3589XXX]C3589323.IBG            "                                                                                               
