"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0399S1-046",33570.35,"1980-09-28T05:01:22Z","1980-09-28T19:08:19Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","GREEN  ",   5, 1.9200,"                                                                                ","11111111","NONE  ","VG_0027 ","[SATURN.C3357XXX]C3357035.IMQ            ","VG_0027 ","[BROWSE.SATURN.C3357XXX]C3357035.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0401S1-046",33570.37,"1980-09-28T05:02:58Z","1980-09-28T19:12:45Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","UV     ",   7,15.3600,"                                                                                ","11111111","NONE  ","VG_0027 ","[SATURN.C3357XXX]C3357037.IMQ            ","VG_0027 ","[BROWSE.SATURN.C3357XXX]C3357037.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0403S1-046",33570.39,"1980-09-28T05:04:34Z","1980-09-28T19:17:13Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","VIOLET ",   1, 1.9200,"                                                                                ","11111111","NONE  ","VG_0027 ","[SATURN.C3357XXX]C3357039.IMQ            ","VG_0027 ","[BROWSE.SATURN.C3357XXX]C3357039.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0549S1-046",33573.05,"1980-09-28T07:01:22Z","1980-09-28T19:21:41Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","BLUE   ",   2, 1.4400,"                                                                                ","11111111","NONE  ","VG_0027 ","[SATURN.C3357XXX]C3357305.IMQ            ","VG_0027 ","[BROWSE.SATURN.C3357XXX]C3357305.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0551S1-046",33573.07,"1980-09-28T07:02:58Z","1980-09-28T19:26:07Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","ORANGE ",   3, 2.8800,"                                                                                ","11111111","NONE  ","VG_0027 ","[SATURN.C3357XXX]C3357307.IMQ            ","VG_0027 ","[BROWSE.SATURN.C3357XXX]C3357307.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0553S1-046",33573.09,"1980-09-28T07:04:34Z","1980-09-28T19:30:15Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","GREEN  ",   5, 1.9200,"                                                                                ","11111111","NONE  ","VG_0027 ","[SATURN.C3357XXX]C3357309.IMQ            ","VG_0027 ","[BROWSE.SATURN.C3357XXX]C3357309.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0555S1-046",33573.11,"1980-09-28T07:06:10Z","1980-09-28T19:34:44Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","UV     ",   7,15.3600,"                                                                                ","11111111","NONE  ","VG_0027 ","[SATURN.C3357XXX]C3357311.IMQ            ","VG_0027 ","[BROWSE.SATURN.C3357XXX]C3357311.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0557S1-046",33573.13,"1980-09-28T07:07:46Z","1980-09-28T19:39:11Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","VIOLET ",   1, 1.9200,"                                                                                ","11111111","NONE  ","VG_0027 ","[SATURN.C3357XXX]C3357313.IMQ            ","VG_0027 ","[BROWSE.SATURN.C3357XXX]C3357313.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","HYPERION","0691S1-046",33575.27,"1980-09-28T08:54:58Z","1980-09-28T19:43:39Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","CLEAR  ",   0, 0.9600,"                                                                                ","11111111","NONE  ","VG_0027 ","[HYPERION]C3357527.IMQ                   ","VG_0027 ","[BROWSE.HYPERION]C3357527.IBG                   "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0703S1-046",33575.39,"1980-09-28T09:04:34Z","1980-09-28T19:48:06Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","BLUE   ",   2, 1.4400,"                                                                                ","11111111","NONE  ","VG_0027 ","[SATURN.C3357XXX]C3357539.IMQ            ","VG_0027 ","[BROWSE.SATURN.C3357XXX]C3357539.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0705S1-046",33575.41,"1980-09-28T09:06:10Z","1980-09-28T19:52:35Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","ORANGE ",   3, 2.8800,"                                                                                ","11111111","NONE  ","VG_0027 ","[SATURN.C3357XXX]C3357541.IMQ            ","VG_0027 ","[BROWSE.SATURN.C3357XXX]C3357541.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0707S1-046",33575.43,"1980-09-28T09:07:46Z","1980-09-28T19:57:02Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","GREEN  ",   5, 1.9200,"                                                                                ","11111111","NONE  ","VG_0027 ","[SATURN.C3357XXX]C3357543.IMQ            ","VG_0027 ","[BROWSE.SATURN.C3357XXX]C3357543.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0709S1-046",33575.45,"1980-09-28T09:09:22Z","1980-09-28T20:01:28Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","UV     ",   7,15.3600,"                                                                                ","11111111","NONE  ","VG_0027 ","[SATURN.C3357XXX]C3357545.IMQ            ","VG_0027 ","[BROWSE.SATURN.C3357XXX]C3357545.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0711S1-046",33575.47,"1980-09-28T09:10:58Z","1980-09-28T20:05:55Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","VIOLET ",   1, 1.9200,"                                                                                ","11111111","NONE  ","VG_0027 ","[SATURN.C3357XXX]C3357547.IMQ            ","VG_0027 ","[BROWSE.SATURN.C3357XXX]C3357547.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0857S1-046",33578.13,"1980-09-28T11:07:46Z","1980-09-28T20:10:25Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","BLUE   ",   2, 1.4400,"                                                                                ","11111111","NONE  ","VG_0027 ","[SATURN.C3357XXX]C3357813.IMQ            ","VG_0027 ","[BROWSE.SATURN.C3357XXX]C3357813.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0859S1-046",33578.15,"1980-09-28T11:09:22Z","1980-09-28T20:14:50Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","ORANGE ",   3, 2.8800,"                                                                                ","11111111","NONE  ","VG_0027 ","[SATURN.C3357XXX]C3357815.IMQ            ","VG_0027 ","[BROWSE.SATURN.C3357XXX]C3357815.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0861S1-046",33578.17,"1980-09-28T11:10:58Z","1980-09-28T20:19:18Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","GREEN  ",   5, 1.9200,"                                                                                ","11111111","NONE  ","VG_0027 ","[SATURN.C3357XXX]C3357817.IMQ            ","VG_0027 ","[BROWSE.SATURN.C3357XXX]C3357817.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0863S1-046",33578.19,"1980-09-28T11:12:34Z","1980-09-28T20:23:28Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","UV     ",   7,15.3600,"                                                                                ","11111111","NONE  ","VG_0027 ","[SATURN.C3357XXX]C3357819.IMQ            ","VG_0027 ","[BROWSE.SATURN.C3357XXX]C3357819.IBG            "                                                                                               
